binomial,BM_kg,BMR_W,MaxLon_yr,BMR_residual,lon_residual,BMR_z,lon_z,PES,source
Ictidomys tridecemlineatus,0.1984,0.983,7.9,0.0394,-0.0523,0.2231,-0.1916,0.0315,AnAge
Arctocebus calabarensis,0.206,0.731,13.0,-0.101,0.161,-0.5723,0.59,0.0177,AnAge
Meles meles,11.05,16.647,18.6,0.0069,-0.0065,0.0391,-0.0237,0.0154,AnAge
Desmodillus auricularis,0.0719,0.49,6.1,0.0555,-0.0822,0.3144,-0.3014,0.013,AnAge
Spermophilus citellus,0.24,1.272,6.7,0.0916,-0.1393,0.5189,-0.5104,0.0084,AnAge
Gerbillus gerbillus,0.0297,0.237,5.9,0.0175,-0.025,0.0989,-0.0917,0.0072,AnAge
Crocidura suaveolens,0.0069,0.112,2.8,0.1499,-0.2303,0.849,-0.8441,0.005,AnAge
Vulpes zerda,1.1592,2.693,16.3,-0.0768,0.1191,-0.4348,0.4365,0.0016,AnAge
Gymnobelideus leadbeateri,0.166,0.574,14.1,-0.1383,0.2138,-0.7834,0.7835,0.0,AnAge
Funisciurus congicus,0.1123,0.533,9.5,-0.0479,0.074,-0.2712,0.2711,-0.0,AnAge
Zapus hudsonius,0.0261,0.219,5.6,0.0237,-0.0372,0.1342,-0.1363,-0.0021,AnAge
Cuniculus paca,9.156,15.323,16.3,0.0299,-0.0485,0.1694,-0.1779,-0.0085,AnAge
Elephantulus rufescens,0.053,0.317,7.9,-0.0379,0.0548,-0.2149,0.2008,-0.0141,AnAge
Heterohyrax brucei,1.6044,3.872,14.0,-0.021,0.0267,-0.1192,0.0978,-0.0215,AnAge
Funisciurus pyrropus,0.2432,1.0121,9.5,-0.0118,0.0113,-0.0667,0.0414,-0.0253,AnAge
Callospermophilus lateralis,0.2496,0.967,10.4,-0.0398,0.0485,-0.2252,0.1778,-0.0475,AnAge
Burramys parvus,0.0443,0.205,12.0,-0.171,0.2509,-0.9685,0.9195,-0.0491,AnAge
Ornithorhynchus anatinus,1.0303,1.931,22.6,-0.1842,0.2706,-1.0436,0.9917,-0.0519,AnAge
Condylura cristata,0.049,0.615,2.5,0.2745,-0.4385,1.5548,-1.6072,-0.0524,AnAge
Cercartetus nanus,0.0648,0.311,10.3,-0.1093,0.1537,-0.6192,0.5633,-0.0559,AnAge
Crocidura leucodon,0.0117,0.166,2.9,0.1551,-0.2579,0.8785,-0.9452,-0.0667,AnAge
Cryptomys hottentotus,0.0789,0.35,11.0,-0.1198,0.1663,-0.6784,0.6094,-0.069,AnAge
Proteles cristata,7.9026,11.563,20.0,-0.0462,0.0522,-0.2616,0.1915,-0.0701,AnAge
Suricata suricatta,0.85,1.729,20.6,-0.1719,0.2459,-0.9735,0.9014,-0.0722,AnAge
Sus scrofa,135.0,104.15,27.0,0.0179,-0.0476,0.1016,-0.1745,-0.0729,AnAge
Phodopus sungorus,0.0313,0.313,3.9,0.1218,-0.2091,0.6898,-0.7662,-0.0763,AnAge
Macropus robustus,29.6479,33.056,22.0,-0.0049,-0.0136,-0.0275,-0.0499,-0.0774,AnAge
Perognathus parvus,0.0192,0.16,5.8,-0.0163,0.003,-0.0923,0.0108,-0.0815,AnAge
Potorous tridactylus,1.0455,2.556,14.5,-0.0671,0.0767,-0.3798,0.2809,-0.0989,AnAge
Leopardus wiedii,3.6,5.227,24.0,-0.1443,0.1952,-0.8174,0.7154,-0.102,AnAge
Macropus parma,4.1566,7.6836,15.9,-0.0221,0.0047,-0.1252,0.0173,-0.1079,AnAge
Dipodomys deserti,0.1058,0.517,8.6,-0.0424,0.0356,-0.2402,0.1304,-0.1097,AnAge
Nasua nasua,3.9243,5.591,23.7,-0.1421,0.1827,-0.8051,0.6697,-0.1353,AnAge
Cryptomys damarensis,0.1313,0.418,15.5,-0.2025,0.2739,-1.1468,1.0038,-0.143,AnAge
Napaeozapus insignis,0.0218,0.22,4.0,0.0822,-0.1687,0.4654,-0.6183,-0.153,AnAge
Neotoma albigula,0.1776,0.735,9.5,-0.0521,0.0368,-0.2953,0.1349,-0.1604,AnAge
Lepus townsendii,2.5232,7.698,8.0,0.1353,-0.2531,0.7666,-0.9275,-0.161,AnAge
Hydrochoerus hydrochaeris,26.385,36.754,15.1,0.0778,-0.1676,0.4406,-0.6142,-0.1736,AnAge
Bettongia gaimardi,1.385,3.578,11.8,-0.0092,-0.0356,-0.0521,-0.1306,-0.1828,AnAge
Perognathus longimembris,0.0085,0.061,8.3,-0.1794,0.2247,-1.0163,0.8235,-0.1928,AnAge
Choloepus hoffmanni,4.0052,3.891,41.0,-0.306,0.4191,-1.7331,1.536,-0.197,AnAge
Neotoma lepida,0.1125,0.46,10.5,-0.1124,0.1173,-0.6367,0.4299,-0.2068,AnAge
Procavia capensis,2.458,4.954,14.8,-0.0479,0.0162,-0.2712,0.0594,-0.2118,AnAge
Microgale dobsoni,0.0446,0.315,5.6,0.0134,-0.0807,0.0762,-0.2956,-0.2194,AnAge
Baiomys taylori,0.0072,0.095,3.3,0.065,-0.1624,0.3684,-0.5952,-0.2268,AnAge
Elephantulus rozeti,0.049,0.288,7.2,-0.055,0.0209,-0.3115,0.0764,-0.235,AnAge
Melursus ursinus,66.957,47.064,33.3,-0.107,0.1003,-0.6062,0.3677,-0.2385,AnAge
